delivery_start_utc,delivery_end_utc,delivery_date,area,price,currency,resolution_min,source,fetched_at_utc
2026-05-09T00:00:00+00:00,2026-05-09T01:00:00+00:00,2026-05-09,LV,101.37,EUR,60,elering,2026-08-10T13:28:03.683160+00:00
2026-05-09T00:15:00+00:00,2026-05-09T01:15:00+00:00,2026-05-09,LV,118.75,EUR,60,elering,2026-08-10T13:28:03.683160+00:00
2026-05-09T00:30:00+00:00,2026-05-09T01:30:00+00:00,2026-05-09,LV,99.96,EUR,60,elering,2026-08-10T13:28:03.683160+00:00
2026-05-09T00:45:00+00:00,2026-05-09T01:45:00+00:00,2026-05-09,LV,106.15,EUR,60,elering,2026-08-10T13:28:03.683160+00:00
2026-05-09T01:00:00+00:00,2026-05-09T02:00:00+00:00,2026-05-09,LV,111.11,EUR,60,elering,2026-08-10T13:28:03.683160+00:00
2026-05-09T01:15:00+00:00,2026-05-09T02:15:00+00:00,2026-05-09,LV,114.4,EUR,60,elering,2026-08-10T13:28:03.683160+00:00
2026-05-09T01:30:00+00:00,2026-05-09T02:30:00+00:00,2026-05-09,LV,121.59,EUR,60,elering,2026-08-10T13:28:03.683160+00:00
2026-05-09T01:45:00+00:00,2026-05-09T02:45:00+00:00,2026-05-09,LV,121.43,EUR,60,elering,2026-08-10T13:28:03.683160+00:00
2026-05-09T02:00:00+00:00,2026-05-09T03:00:00+00:00,2026-05-09,LV,121.13,EUR,60,elering,2026-08-10T13:28:03.683160+00:00
2026-05-09T02:15:00+00:00,2026-05-09T03:15:00+00:00,2026-05-09,LV,120.0,EUR,60,elering,2026-08-10T13:28:03.683160+00:00
2026-05-09T02:30:00+00:00,2026-05-09T03:30:00+00:00,2026-05-09,LV,100.96,EUR,60,elering,2026-08-10T13:28:03.683160+00:00
2026-05-09T02:45:00+00:00,2026-05-09T03:45:00+00:00,2026-05-09,LV,94.18,EUR,60,elering,2026-08-10T13:28:03.683160+00:00
2026-05-09T03:00:00+00:00,2026-05-09T04:00:00+00:00,2026-05-09,LV,110.46,EUR,60,elering,2026-08-10T13:28:03.683160+00:00
2026-05-09T03:15:00+00:00,2026-05-09T04:15:00+00:00,2026-05-09,LV,119.97,EUR,60,elering,2026-08-10T13:28:03.683160+00:00
2026-05-09T03:30:00+00:00,2026-05-09T04:30:00+00:00,2026-05-09,LV,119.9,EUR,60,elering,2026-08-10T13:28:03.683160+00:00
2026-05-09T03:45:00+00:00,2026-05-09T04:45:00+00:00,2026-05-09,LV,99.91,EUR,60,elering,2026-08-10T13:28:03.683160+00:00
2026-05-09T04:00:00+00:00,2026-05-09T05:00:00+00:00,2026-05-09,LV,101.02,EUR,60,elering,2026-08-10T13:28:03.683160+00:00
2026-05-09T04:15:00+00:00,2026-05-09T05:15:00+00:00,2026-05-09,LV,88.68,EUR,60,elering,2026-08-10T13:28:03.683160+00:00
2026-05-09T04:30:00+00:00,2026-05-09T05:30:00+00:00,2026-05-09,LV,85.17,EUR,60,elering,2026-08-10T13:28:03.683160+00:00
2026-05-09T04:45:00+00:00,2026-05-09T05:45:00+00:00,2026-05-09,LV,89.07,EUR,60,elering,2026-08-10T13:28:03.683160+00:00
2026-05-09T05:00:00+00:00,2026-05-09T06:00:00+00:00,2026-05-09,LV,124.0,EUR,60,elering,2026-08-10T13:28:03.683160+00:00
2026-05-09T05:15:00+00:00,2026-05-09T06:15:00+00:00,2026-05-09,LV,122.28,EUR,60,elering,2026-08-10T13:28:03.683160+00:00
2026-05-09T05:30:00+00:00,2026-05-09T06:30:00+00:00,2026-05-09,LV,118.2,EUR,60,elering,2026-08-10T13:28:03.683160+00:00
2026-05-09T05:45:00+00:00,2026-05-09T06:45:00+00:00,2026-05-09,LV,103.2,EUR,60,elering,2026-08-10T13:28:03.683160+00:00
2026-05-09T06:00:00+00:00,2026-05-09T07:00:00+00:00,2026-05-09,LV,125.21,EUR,60,elering,2026-08-10T13:28:03.683160+00:00
2026-05-09T06:15:00+00:00,2026-05-09T07:15:00+00:00,2026-05-09,LV,114.81,EUR,60,elering,2026-08-10T13:28:03.683160+00:00
2026-05-09T06:30:00+00:00,2026-05-09T07:30:00+00:00,2026-05-09,LV,59.49,EUR,60,elering,2026-08-10T13:28:03.683160+00:00
2026-05-09T06:45:00+00:00,2026-05-09T07:45:00+00:00,2026-05-09,LV,54.28,EUR,60,elering,2026-08-10T13:28:03.683160+00:00
2026-05-09T07:00:00+00:00,2026-05-09T08:00:00+00:00,2026-05-09,LV,84.32,EUR,60,elering,2026-08-10T13:28:03.683160+00:00
2026-05-09T07:15:00+00:00,2026-05-09T08:15:00+00:00,2026-05-09,LV,63.77,EUR,60,elering,2026-08-10T13:28:03.683160+00:00
2026-05-09T07:30:00+00:00,2026-05-09T08:30:00+00:00,2026-05-09,LV,34.89,EUR,60,elering,2026-08-10T13:28:03.683160+00:00
2026-05-09T07:45:00+00:00,2026-05-09T08:45:00+00:00,2026-05-09,LV,15.71,EUR,60,elering,2026-08-10T13:28:03.683160+00:00
2026-05-09T08:00:00+00:00,2026-05-09T09:00:00+00:00,2026-05-09,LV,31.72,EUR,60,elering,2026-08-10T13:28:03.683160+00:00
2026-05-09T08:15:00+00:00,2026-05-09T09:15:00+00:00,2026-05-09,LV,14.79,EUR,60,elering,2026-08-10T13:28:03.683160+00:00
2026-05-09T08:30:00+00:00,2026-05-09T09:30:00+00:00,2026-05-09,LV,8.04,EUR,60,elering,2026-08-10T13:28:03.683160+00:00
2026-05-09T08:45:00+00:00,2026-05-09T09:45:00+00:00,2026-05-09,LV,5.68,EUR,60,elering,2026-08-10T13:28:03.683160+00:00
2026-05-09T09:00:00+00:00,2026-05-09T10:00:00+00:00,2026-05-09,LV,8.89,EUR,60,elering,2026-08-10T13:28:03.683160+00:00
2026-05-09T09:15:00+00:00,2026-05-09T10:15:00+00:00,2026-05-09,LV,8.36,EUR,60,elering,2026-08-10T13:28:03.683160+00:00
2026-05-09T09:30:00+00:00,2026-05-09T10:30:00+00:00,2026-05-09,LV,6.97,EUR,60,elering,2026-08-10T13:28:03.683160+00:00
2026-05-09T09:45:00+00:00,2026-05-09T10:45:00+00:00,2026-05-09,LV,6.96,EUR,60,elering,2026-08-10T13:28:03.683160+00:00
2026-05-09T10:00:00+00:00,2026-05-09T11:00:00+00:00,2026-05-09,LV,6.09,EUR,60,elering,2026-08-10T13:28:03.683160+00:00
2026-05-09T10:15:00+00:00,2026-05-09T11:15:00+00:00,2026-05-09,LV,6.98,EUR,60,elering,2026-08-10T13:28:03.683160+00:00
2026-05-09T10:30:00+00:00,2026-05-09T11:30:00+00:00,2026-05-09,LV,7.03,EUR,60,elering,2026-08-10T13:28:03.683160+00:00
2026-05-09T10:45:00+00:00,2026-05-09T11:45:00+00:00,2026-05-09,LV,6.64,EUR,60,elering,2026-08-10T13:28:03.683160+00:00
2026-05-09T11:00:00+00:00,2026-05-09T12:00:00+00:00,2026-05-09,LV,7.01,EUR,60,elering,2026-08-10T13:28:03.683160+00:00
2026-05-09T11:15:00+00:00,2026-05-09T12:15:00+00:00,2026-05-09,LV,6.71,EUR,60,elering,2026-08-10T13:28:03.683160+00:00
2026-05-09T11:30:00+00:00,2026-05-09T12:30:00+00:00,2026-05-09,LV,5.76,EUR,60,elering,2026-08-10T13:28:03.683160+00:00
